date,unemployment_change,vacancies_growth,gdp_growth,cpih_inflation,interest_change
2015-10-01,-10.000000000000053,0.0,0.5561735261401468,0.0,0.0
2015-11-01,0.0,0.6747638326585648,0.0,100.0,0.0
2015-12-01,0.0,-4.557640750670244,0.0,25.0,0.0
2016-01-01,0.0,3.2303370786516794,0.5530973451327359,19.999999999999996,0.0
2016-02-01,0.0,0.5442176870748217,0.0,0.0,0.0
2016-03-01,0.0,1.2178619756427533,0.0,33.33333333333335,0.0
2016-04-01,-9.999999999999964,1.6042780748663166,0.6600660066006458,-12.50000000000001,0.0
2016-05-01,0.0,1.5789473684210575,0.0,0.0,0.0
2016-06-01,-9.999999999999964,1.0362694300518172,0.0,14.285714285714302,0.0
2016-07-01,0.0,1.1538461538461497,0.43715846994536456,12.5,0.0
2016-08-01,0.0,1.520912547528508,0.0,11.111111111111116,-0.215909091
2016-09-01,0.0,0.8739076154806513,0.0,30.000000000000004,-0.034090909
2016-10-01,-10.000000000000053,0.7425742574257432,0.6528835690968293,0.0,0.0
2016-11-01,0.0,0.7371007371007376,0.0,15.384615384615374,0.0
2016-12-01,0.0,-8.536585365853655,0.0,19.999999999999996,0.0
2017-01-01,0.0,9.466666666666669,0.540540540540535,0.0,0.0
2017-02-01,-9.999999999999964,0.8526187576126665,0.0,27.777777777777768,0.0
2017-03-01,0.0,0.9661835748792313,0.0,0.0,0.0
2017-04-01,-10.000000000000053,1.0765550239234534,0.8602150537634357,13.043478260869579,0.0
2017-05-01,0.0,0.946745562130169,0.0,11.538461538461542,0.0
2017-06-01,0.0,1.0550996483001063,0.0,-10.344827586206895,0.0
2017-07-01,0.0,1.1600928074245953,0.5330490405117239,0.0,0.0
2017-08-01,0.0,1.1467889908256979,0.0,3.8461538461538547,0.0
2017-09-01,-9.999999999999964,1.133786848072571,0.0,11.111111111111093,0.0
2017-10-01,0.0,1.2331838565022402,0.6362672322375529,0.0,0.0
2017-11-01,-9.999999999999964,1.2181616832779518,0.0,3.3333333333333437,0.0
2017-12-01,0.0,1.7505470459518557,0.0,-3.2258064516129115,0.0
2018-01-01,0.0,1.0752688172043001,0.7376185458377149,0.0,0.25
2018-02-01,-10.000000000000053,0.9574468085106425,0.0,-9.999999999999998,0.0
2018-03-01,0.0,0.94836670179137,0.0,-7.407407407407418,0.0
2018-04-01,-9.999999999999964,0.8350730688935215,0.6276150627615218,-4.0000000000000036,0.0
2018-05-01,0.0,0.8281573498964745,0.0,0.0,0.0
2018-06-01,0.0,0.7186858316221789,0.0,0.0,0.0
2018-07-01,-10.000000000000053,0.7135575942915473,0.5197505197505281,4.166666666666674,0.0
2018-08-01,0.0,0.6072874493927127,0.0,-4.0000000000000036,0.25
2018-09-01,-9.999999999999964,0.5030181086519203,0.0,-8.333333333333325,0.0
2018-10-01,9.999999999999964,0.5005005005005003,0.31023784901758056,9.090909090909083,0.0
2018-11-01,-9.999999999999964,0.4980079681274896,0.0,-8.333333333333325,0.0
2018-12-01,0.0,1.090188305252715,0.0,-4.545454545454552,0.0
2019-01-01,0.0,0.4901960784313708,0.5154639175257714,-14.28571428571429,0.0
2019-02-01,-10.000000000000009,0.4878048780487809,0.0,5.555555555555558,0.0
2019-03-01,0.0,0.4854368932038833,0.0,-5.263157894736836,0.0
2019-04-01,-10.000000000000009,0.48309178743961567,0.3076923076922977,11.111111111111116,0.0
2019-05-01,0.0,0.38461538461538325,0.0,0.0,0.0
2019-06-01,0.0,0.3831417624521105,0.0,-5.000000000000004,0.0
2019-07-01,0.0,0.3816793893129722,0.2044989775051187,5.263157894736836,0.0
2019-08-01,0.0,0.3802281368821214,0.0,-15.000000000000002,0.0
2019-09-01,0.0,0.37878787878788955,0.0,0.0,0.0
2019-10-01,0.0,0.37735849056603765,0.10204081632652073,-5.88235294117646,0.0
2019-11-01,0.0,0.3759398496240518,0.0,-6.25,0.0
2019-12-01,0.0,0.561797752808979,0.0,-6.666666666666677,0.0
2020-01-01,0.0,-0.3724394785847296,-0.6116207951070263,21.42857142857144,0.0
2020-02-01,10.000000000000009,-1.4018691588784993,0.0,0.0,-0.366666667
2020-03-01,10.000000000000009,-4.265402843601896,0.0,-11.764705882352944,-0.28333333299999997
2020-04-01,50.0,-15.841584158415845,-9.025641025641018,-40.0,0.0
2020-05-01,40.000000000000036,-23.529411764705888,0.0,-22.222222222222232,0.0
2020-06-01,29.999999999999982,-26.15384615384615,0.0,-14.28571428571428,0.0
2020-07-01,29.999999999999982,-6.25,1.916572717023679,-16.666666666666664,0.0
2020-08-01,20.000000000000018,2.2222222222222143,0.0,0.0,0.0
2020-09-01,20.000000000000018,8.695652173913038,0.0,0.0,0.0
2020-10-01,0.0,6.000000000000005,1.9911504424778625,39.99999999999999,0.0
2020-11-01,-10.000000000000053,5.660377358490565,0.0,-14.28571428571428,0.0
2020-12-01,-9.999999999999964,7.14285714285714,0.0,33.33333333333335,0.0
2021-01-01,0.0,3.3333333333333437,1.3015184381778733,12.5,0.0
2021-02-01,-20.000000000000018,4.8387096774193505,0.0,-22.222222222222232,0.0
2021-03-01,-29.999999999999982,6.153846153846154,0.0,0.0,0.0
2021-04-01,-29.999999999999982,7.246376811594213,1.9271948608136968,128.5714285714286,0.0
2021-05-01,-20.000000000000018,6.756756756756754,0.0,31.25,0.0
2021-06-01,0.0,3.797468354430378,0.0,19.047619047619047,0.0
2021-07-01,-10.000000000000053,3.658536585365857,1.995798319327724,-19.999999999999996,0.0
2021-08-01,0.0,3.529411764705892,0.0,50.0,0.0
2021-09-01,-9.999999999999964,2.2727272727272707,0.0,3.3333333333333437,0.0
2021-10-01,-9.999999999999964,1.1111111111111072,1.4418125643666402,29.032258064516125,0.0
2021-11-01,-20.000000000000018,1.098901098901095,0.0,19.999999999999996,0.0
2021-12-01,-10.000000000000053,2.1739130434782705,0.0,0.0,0.15
2022-01-01,0.0,2.127659574468077,0.9137055837563413,2.083333333333348,0.0
2022-02-01,-19.99999999999997,2.083333333333326,0.0,12.244897959183664,0.25
2022-03-01,-10.000000000000009,2.0408163265306145,0.0,12.72727272727272,0.25
2022-04-01,-9.999999999999964,1.0000000000000009,0.9054325955734299,25.806451612903224,0.0
2022-05-01,9.999999999999964,0.990099009900991,0.0,1.2820512820512997,0.25
2022-06-01,0.0,0.9803921568627416,0.0,3.7974683544303556,0.25
2022-07-01,-19.99999999999997,0.9708737864077666,0.5982053838484713,7.317073170731736,0.0
2022-08-01,-10.000000000000009,0.9615384615384581,0.0,-2.272727272727282,0.5
2022-09-01,0.0,0.952380952380949,0.0,2.3255813953488413,0.5
2022-10-01,10.000000000000009,0.9433962264151052,-0.29732408325074955,9.090909090909083,0.0
2022-11-01,10.000000000000009,0.9345794392523255,0.0,-3.124999999999989,0.75
2022-12-01,0.0,0.92592592592593,0.0,-1.0752688172043112,0.5
2023-01-01,0.0,-0.917431192660545,0.09940357852884496,-4.347826086956507,0.0
2023-02-01,9.999999999999964,-0.92592592592593,0.0,0.0,0.5
2023-03-01,10.000000000000009,-0.9345794392523366,0.0,1.1363636363636243,0.25
2023-04-01,0.0,-1.8867924528301883,0.09930486593843213,-12.35955056179776,0.0
2023-05-01,10.000000000000009,-1.9230769230769273,0.0,1.2820512820512997,0.25
2023-06-01,20.000000000000018,-1.9607843137254943,0.0,-7.594936708860766,0.5
2023-07-01,9.999999999999964,-2.0000000000000018,0.09920634920634885,-6.849315068493156,0.0
2023-08-01,0.0,-2.0408163265306145,0.0,-7.352941176470584,0.25
2023-09-01,-9.999999999999964,-2.083333333333337,0.0,-3.1746031746031744,0.0
2023-10-01,0.0,-2.127659574468088,0.09910802775023875,-24.590163934426236,0.0
2023-11-01,0.0,-2.1739130434782594,0.0,-6.521739130434778,0.0
2023-12-01,9.999999999999964,-2.2222222222222254,0.0,-6.976744186046513,0.0
2024-01-01,10.000000000000053,-2.2727272727272707,0.0990099009900991,5.000000000000004,0.0
2024-02-01,9.999999999999964,-2.3255813953488413,0.0,-7.142857142857151,0.0
2024-03-01,9.999999999999964,-2.3809523809523836,0.0,-17.948717948717942,0.0
2024-04-01,0.0,-2.4390243902439046,0.0,-6.25,0.0
2024-05-01,10.000000000000053,-2.500000000000002,0.0,0.0,0.0
2024-06-01,0.0,-2.564102564102566,0.0,3.3333333333333437,0.0
2024-07-01,9.999999999999964,-1.3157894736842146,0.1978239366963397,3.2258064516129004,0.0
2024-08-01,20.000000000000018,-1.3333333333333308,0.0,-3.125,-0.25
2024-09-01,9.999999999999964,-1.3513513513513487,0.0,-16.129032258064512,0.0
2024-10-01,0.0,-0.2739726027397249,0.29615004935834577,23.076923076923084,0.0
2024-11-01,10.000000000000053,-0.27472527472527375,0.0,9.375,-0.2023809520000004
2024-12-01,9.999999999999964,-0.27548209366391463,0.0,0.0,-0.04761904799999961
2025-01-01,0.0,-0.2762430939226568,0.5905511811023612,11.428571428571432,0.0
2025-02-01,0.0,-0.27700831024930483,0.0,-5.128205128205121,-0.21250000000000036
2025-03-01,-9.999999999999964,-0.2777777777777768,0.0,-8.108108108108114,-0.037499999999999645
2025-04-01,-20.000000000000018,-0.278551532033422,0.29354207436398383,20.58823529411764,0.0
2025-05-01,-29.999999999999982,1.3966480446927276,0.0,-2.4390243902438935,-0.20000000000000018
2025-06-01,0.0,-0.5509641873278182,0.0,2.499999999999991,-0.04999999999999982
2025-07-01,9.999999999999964,1.2465373961218829,0.09756097560975618,2.4390243902439046,0.0
2025-08-01,20.000000000000018,-0.8207934336525335,0.0,-2.3809523809523947,-0.20000000000000018
2025-09-01,9.999999999999964,0.0,0.0,0.0,-0.04999999999999982
